Name,Website,Organisation Type,Country,Countries of operation,Disability Innovation,Disability Innovation
Trampolene,https://trampolene.org/,Not for profit,Singapore,Singapore,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
ACE Mobility,http://www.acemobility.co.ke/,For profit,Kenya,Kenya,"Mobility, Travel",Mobility & dexterity impairment
KeNAAM,https://kenaam.org/,"Community based, Research institution",Kenya,Kenya,Other,
Positive Exposure,https://www.positiveexposure-kenya.org/,Not for profit,Kenya,Kenya,Other,
Gigs for PWDs,https://pwdgigs.com/,For profit,Kenya,Kenya,Inclusive employment,"Mobility, Hearing, Vision, Cognition"
Veeza Viz,https://veezaviz.com/,For profit,Kenya,Kenya,"Computers, tablets and mobile devices, Sign language systems",Hearing
Disability Impact Fund,http://www.disabilityimpact.com/node/35,"Not for profit, Hub",Hong Kong,Hong Kong,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Global Centre of Possibility,https://www.gcop.co.nz/,"Not for profit, Hub",New Zealand,New Zealand,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Access to Success,https://accesstosuccess.ca/,"Not for profit, Hub",Canada,Canada,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Remarkable,https://remarkable.org.au/,"Not for profit, Hub",Australia,Australia,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Inclusive Innovation Network,https://inclusiveinnovationnetwork.org/,"Not for profit, Hub",Australia,"India, Canada, Africa, Australia, New Zealand",Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Elegant IT,https://eleganttechbd.com/about/,For profit,Bangladesh,Bangladesh,"Education, Inclusive employment","Mobility, Hearing, Vision, Cognition"
CMED health,https://cmed.com.bd/,For profit,Bangladesh,Bangladesh,Other,"Mobility, Hearing, Vision, Cognition"
Bobble ai,https://www.bobble.ai/en/home,For profit,India,India,"Computers, tablets and mobile devices",Vision
Sispay,https://sispay.net/sispay/index.html#home,For profit,Morocco,Morocco,Finance,"Mobility, Hearing, Vision, Cognition"
Axiom Zorn,https://axiomzorn.com/,For profit,Uganda,Uganda,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Sign io,https://sign-io.com/,For profit,Kenya,Kenya,Hearing,Hearing
Nayla Prosthetics,https://www.naylatech.org/,Not for profit,Sudan,Sudan,Prosthetics & orthotics,Mobility
Daad.io,https://daad.io/,For profit,India,India,Education,Hearing
Solar Ear,http://solarear.com.br/,For profit,Brazil,"Brazil, United Kingdom, Cambodia",Hearing,Hearing
Punarjeeva,https://www.punarjeevatech.com/,For profit,India,India,"Cognition, Digital therapy","Mobility, Cognition, Mental health"
Indent Designs,https://www.indent.co.in/,For profit,India,India,Mobility,Mobility
Cure Bionics,https://dhaouafimed.wixsite.com/curetunisie,For profit,Tunisia,Tunisia,Prosthetics & orthotics,"Mobility, Appearance"
Local Rehabilitation Workshop (LOREWO),https://local-rehabilitation-workshop.business.site/?utm_source=gmb&utm_medium=referral,Not for profit,Zimbabwe,Zimbabwe,"Mobility, Inclusive employment",Social and physical environments
Enablecode,https://enablecode.vn/,For profit,Viet Nam,Viet Nam,Inclusive employment,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Beeline,https://www.beelinereader.com/,For profit,USA,World,"Vision, Education",Vision
VocalEyes,https://www.facebook.com/VocalEyesAI/?pnref=lhc,For profit,USA,"India, Egypt, Palestinian Territories",Vision,Vision
BeSpecular,http://www.bespecular.com/en/,For profit,USA,"USA, South Africa",Vision,Vision
Wheel The World,https://gowheeltheworld.com/,For profit,USA,"Chile, USA",Travel,Mobility
Click medical,https://clickmedical.co/,For profit,USA,World,Prosthetics & orthotics,"Mobility, Appearance"
Participant Life,https://www.participant.life/,For-profit,USA,World,Mobility,Mobility
CLASP,https://www.clasphub.org/,Not for profit,USA,"Mexico, Colombia, Brazil, Ethiopia, Mozambique, Kenya, Uganda, Cambodia, India, Bolivia, Democratic Republic of Congo, Rwanda, Tanzania, South Africa, Philippines, Afghanistan, Fiji, Thailand, Indonesia, China, Jordan, Pakistan, Somalia, Zimbabwe, Togo, Madagascar, Dominican Republic, Morocco, Laos",Mobility,Mobility
BethanyKids,https://bethanykids.org/,Not for profit,USA,"United Kingdom, Ethiopia, Kenya, Uganda, Canada, Cameroon, Zambia, Sierra Leone, Madagascar",Mobility,Mobility
Talov,https://www.talovstudio.com/speakliz,For profit,USA,"Ecuador, USA","Hearing, Sign language systems",Hearing
Sound world solutions,https://www.soundworldsolutions.com/,For profit,USA,World,Hearing,Hearing
3dp4me,https://www.3dp4me.org/,Non profit,USA,Jordan,Hearing,Hearing
Key2Enable,https://key2enable.com/,For profit,USA,World,"Computers, tablets and mobile devices, Other, Communication, Education","Mobility, Computers, Tablets and mobile devices"
"McLain Association for Children, Georgia (MAC Georgia)",https://macchild.org/,For profit,USA,World,Education,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Dyscalculia,https://www.dyscalculia.org/,Not for profit,USA,World,Education,Cognition
Avaz Inc,https://www.avazapp.com/,For profit,USA,India,Education,Cognition
Arise,https://www.arisecoalition.org/assistive-technology.html,For profit,USA,USA,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Field Ready,https://www.fieldready.org/,Not for profit,USA,"USA, Nepal, Syria, South Pacific","Other, Mobility",Mobility
Global Vision 2020. Inc.,https://gv2020.org/,Not for profit,USA,"Africa, Asia, South America, Caribbean, Middle East",Vision,Vision
Nonspec Inc.,https://www.nonspec.org/,For profit,USA,"Germany, USA, India, Rwanda",Prosthetics & orthotics,"Mobility, Appearance"
Miracle Feet,https://www.miraclefeet.org/,"For profit, Not for profit",USA,"World, Nigeria",Prosthetics & orthotics,"Mobility, Appearance"
LegWorks,https://legworks.com/,"For profit, Social enterprise",USA,World,Prosthetics & orthotics,"Mobility, Appearance"
MEDTRONIC,https://europe.medtronic.com/xd-en/index.html,Not for profit,Ireland,"Uganda, India, Ghana, Philippines, Bhutan, Timor Leste, Malawi",Hearing,Hearing
Ginger - Ginger Software,https://www.gingersoftware.com/,Software,USA,World,Education,Cognition
Kurzweil 3000,https://www.kurzweiledu.com/default.html,Company,USA,World,"Computers, tablets and mobile devices, Education","Vision, Cognition"
MathTalk,https://mathtalk.com/,Company,USA,World,"Communication, Education","Hearing, Cognition"
Vision Aid Overseas,https://www.visionaidoverseas.org/,Not for profit,United Kingdom,"Ethiopia, Ghana, Zambia, Sierra Leone",Vision,Vision
PEEK Vision,https://peekvision.org/,Not for profit,United Kingdom,Botswana,Screening & diagnostics services,Vision
The Leprosy Mission England & Wales (TLM),https://www.leprosymission.org/,"Not for profit, Research institution",United Kingdom,"Ethiopia, Mozambique, Bangladesh, Nepal, India, Sudan, Nigeria, Myanmar, Sri Lanka, Niger",Prosthetics & orthotics,Mobility
Legs4Africa,https://www.legs4africa.org/,Not for profit,United Kingdom,"USA, France, Canada, Africa, Australia",Prosthetics & orthotics,"Mobility, Appearance"
Koala Ltd.,https://www.yourkoalaa.com/,For profit,United Kingdom,"USA, Canada, Sri Lanka, Sierra Leone, Europe, Australia, Turkey",Prosthetics & orthotics,"Mobility, Appearance"
Exceed Social Enterprises Ltd (owned by Exceed Worldwide),https://www.exceed-worldwide.org/exceed-social-enterprise,Not for profit,United Kingdom,"Africa, SE Asia, South Asia, Pacific",Prosthetics & orthotics,"Mobility, Appearance"
Motivation,https://www.motivation.org.uk/blog/at-changed-my-life,"Not for profit, Social enterprise",United Kingdom,World,Mobility,Mobility
Freedom One Life,https://freedomonelife.com/,For profit,United Kingdom,"United Kingdom, Kenya",Mobility,Mobility
GSMA,https://www.gsma.com/mobilefordevelopment/assistive-tech/,Investor,United Kingdom,"Africa, Asia",Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
Forever Learn Ltd,https://www.forever-learn.org,For profit,United Kingdom,World,Other,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
