Name,Link,Founding Year,"Type of Venture (charity, project, academic, for-profit)",Region,Country (of Origin),Countries of Operations,UNCRPD Level,City,Lead Actory: background of founders,Funder,"Type of Innovation (4Ps): Process, Product, Paradigm, Position","Impairment category (mobility, visual, hearing, cognitive)",Wicked Problem,Radically different Interaction: whats the interaction and how it overcome challenges,Cocreation aspect,Value and usefulness to the user,Open or scalable aspect: need to explain,"Startup Stage (Existence, Survival, Disengagement, Success, Growth, Take-off, Maturity)",References
Stamurai,https://stamurai.com/,2019,for-profit,South-East Asia,India,Worldwide,ratified,Gurgaon,Startup,"Titan Capital, Venture Highway, BIRAC, Mphasis, Social Alpha",Product/Process,Speech,Those who stutter can be self-conscious and blame themselves for the condition. That fearful feeling makes the body tense and leads to more stuttering. It is a vicious cycle that continues to play out.,Stamurai has videos and speech therapy exercises to help users develop correct speech techniques and as well to guide people to overcome their anxiety that causes stuttering.,The app draws from the personal stuttering experiences of 2 of the 3 co-founders.,"The app takes a combined approach: fluency shaping therapy is       more efficient at changing speech patterns, while stuttering modification therapy is more effective in reducing speech fears. ",Free to download,Take-off,https://economictimes.indiatimes.com/small-biz/entrepreneurship/i-could-tell-a-joke-how-stamurai-uses-tech-to-deal-with-stuttering/articleshow/94671737.cms?from=mdr,,,,,,,,,,,,,,,
"Economic Empowerment Project Myanmar by
Enablement, The Leprosy Mission Myanmar, & BRAC",https://enablement.eu/project/economic-empowerment-project-myanmar,2019,project,South-East Asia,Myanmar,Myanmar,ratified,Yangon,"partnerships among non-profits, academy,  private and public sectors",DaNa Facility,Paradigm,people disabled from agricultural value chains,"Most people with disabilities live in rural areas where agriculture is the main source of income. However, people with disabilities encounter many barriers to work as farmers or labourers in agricultural value chains, as well as access to marketplaces and finance. These barriers take shape in the form of attitudinal, physical, communication, and institutional barriers.","The project lowered the barriers for people with disabilities to find meaningful employment and to protect and empower the affected households, by 1) assisting people with disabilities to become employed trough job coaching, 2) providing guidance on how to make their own market places accessible to communities, 3) piloting the development of adapted tools for people with disabilities, 4) piloting the development of a supported approach to micro-finance ,5) developing tools to offer guidance on necessary adaptations and to highlight the importance of inclusive marketplaces, and 6) developing a handbook with marketplace (disability) inclusion guidelines","The project gets the Leprosy Mission Myanmar (TLMM), BRAC, Enablement, and also private and public stakeholders and relevant government actors working together with people with disabilities.",It lowers the barriers for people with disabilities to find meaningful employment and protects and empowers the affected households,guidances on building up more accessible and inclusive marketplaces (agricultural value chains) highly replicable or scalable in low/medium resource settings,Success Disengagement,https://enablement.eu/project/economic-empowerment-project-myanmar,,,,,,,,,,,,,,,
"CIL- Kathmandu (Center for Independent Living of Persons with Disabilities, Kathmandu)",https://cil.org.np/,2006,NGO,South-East Asia,Nepal,Nepal,ratified,Kathmandu,non-profits,"NGOs, INGOs, and the private sector",Paradigm,All,1. The wheelchairs they receive as donations are often not suited to the conditions in Nepal and are rarely well-fitted for their users. 2. There is a lack of materials and space for making wheelchair in Nepal.,"the first disabled persons� organization established to promote and protect the rights of people with disabilities through the concept of �Independent Living� in Nepal, with the key areas in Advocacy, Peer Support Services, Awareness, and Assistive Service, Devices&Technology",The organization was established by disabled people and the decisions and activities within the org are made by their members,It has been advocating for the participation of disabled people in public decision-making and using peer support to convey knowledge which enables them to live independently.,It is�an organization�in special consultative status with UN ECOSOC. It is open to every disabled people in Nepal.,success,https://cil.org.np/,,,,,,,,,,,,,,,
Infinity Lab,https://kathmandupost.com/miscellaneous/2018/01/06/rolling-on,2018,project,South-East Asia,Nepal,Nepal,ratified,Kathmandu,startup,CIL-Kathmandu,product,mobility,1. They do not have the capital needed to begin large-scale production to meet domestic demand. 2. The product is still on the prototype process. 3. A common wheelchair user still cannot afford the product 4. There is no proper roads and regulated traffic in Nepal to fit wheelchairs,putting the large wheels in the front allows�for more thrust and they are best suited for the uneven road conditions in Nepal,"Kathmandu University provided the space, CIL-Kathmandu provided the financial backing. Gorkha Eco Panel helped in the initial research and product development stage.",Make it possible for people using wheelchairs in Nepal to have electronic wheelchairs that suit the local road condition.,not scalable,survival,https://kathmandupost.com/miscellaneous/2018/01/06/rolling-on,,,,,,,,,,,,,,,
Petralex,https://petralex.pro/en,2014,for profit,South-East Asia,Sri Lanka,Sri Lanka,ratified,unlisted,For profit,Dialog,product,hearing,cannot substitute professional testing and professionally fitted commercial hearing aids,�localising the app into the two local languages; Getting an audiogram at home without specialists' help within a few minutes,none,"users in Sri Lanka can use the APP in their own languages, the subscription fee in this country is much lower",available on the Google Play Store and app store,existence,https://www.dialog.lk/petralex-app,,,,,,,,,,,,,,,
Athuru Mithuru,https://dialogfoundation.org/sustainability-initiatives/digital-inclusion/athuru-mithuru/,2018,project,South-East Asia,Sri Lanka,Sri Lanka,ratified,Unlisted,Foundation,Dialogfoundation,product,speech,only accessible to those who have Android smartphones and tablets,"use the local main language and culture; allows users to communicate using a preset combination of pictures and voice covering the most common topics. In addition, the pictures and voices can be customised/personalised",Developed based on extensive human-centred research guided by academics and practitioners in the field,�allows those affected to communicate more easily and express their ideas and feelings in a way that those around them understand,"available on the Google Play Store, free of charge",existence,https://www.gsma.com/mobilefordevelopment/m/dialog-axiata-2/ https://www.ft.lk/Healthcare/Dialog-empowers-the-speech-and-hearing-impaired-with-Athuru-Mithuru/45-672748,,,,,,,,,,,,,,,
OLE Nepal,https://www.olenepal.org/,2007,charity,South-East Asia,Nepal,Nepal,ratified,Lalitpur,social benefit organization,"�UNICEF�and�KDDI Foundation, Japan�",product,hearing and visual,limited number of devices are accessble,let earlier and blind students use computers without teachers' help to learn practical applications,They conduct�functionality testing and user-testing of the NSL-integrated digital content with the students with disabilities.,enable students with visual and hearing disabilities the same access as other students to learning materials.,free and open digital resources for everyone to learn at home,Success,https://en.wikipedia.org/wiki/OLE_Nepal,,,,,,,,,,,,,,,
(BBDN) Bangladesh Business & Disability Network,https://www.bbdn.com.bd/page/3/,2016,Business Network and Employers Association,South-East Asia,Bangladesh,"Bangladesh, with international influence",ratified,Dhaka,"Government Body -Murteza Rafi Khan, Cheif Executive Officer",Donations of several founder member organisations,Paradigm,"Employment rights- responsible for preventing employment discrimintation, among other charter projects",Legislation naturally struggles between equality and equity; finding the right solution is difficult when navigating employment law. Certain sectors are difficult to plan for and therfore success is difficult to qauntify.,Provides support for disabled workers that is backed in local legislation and works actively to promote equity in work spaces.,"Supports companys and employees, supporting inclusivity and promoting equity",Organize a network of business persons that is representative of companies and employers� organizations from diverse sectoral areas that are committed to the work of BBDN and to the issue of disability in the workforce.,Scalable,Maturity,https://www.bbdn.com.bd/bbdn-current-project/,,,,,,,,,,,,,,,
Maya,https://techcrunch.com/2021/02/08/bangladesh-based-maya-a-startup-focused-on-accessible-healthcare-raises-2-2-million-seed-round/,2011,For Profit Organization,South-East Asia,Bangladesh,"Bangladesh, Singapore, Pakistan",ratified,Dhaka,"Digital Startup -Ivy Huq Russel, Cheif Executive Officer","The Osiris Group, Anchorless Bangladesh, USD 2.2mil in seed funding",Process,Mental Health,"Cannot compete with in person support in real time, delivered by professioanls, but succeeds as a wellness resource in areas where these types of mediums are scarse. Bangladesh does not have a system in place for mental health. Specialists are 1;800,000 within Bangaldesh, and people are likely to practice with tradtional faith healers as there is no access to modern mental health help.","Streamlines the process of metnal health access, and removes the need for distance travel to access such resources.",Provides easy access to mental wellbeing resources. Empowers individuals to take steps to improving their mental health.,"Maya uses a mobile-based digital health service that leverages artificial intelligence and natural language programming to intelligently understand user questions and connect them directly to licensed and trusted experts ranging from doctors, clinicians, wellbeing experts to psychotherapists.",Scalable,Existence,https://futurestartup.com/2021/07/15/bangladeshi-digital-healthcare-startup-maya-launches-in-pakistan/,,,,,,,,,,,,,,,
Moner Bonghu,https://monerbondhu.org/about-us/,2016,For Profit Organization,South-East Asia,Bangladesh,Bangladesh,ratified,Dhaka,Digital Startup ,SNV Netherlands Grant 2020,Process,Mental Health,"Cannot compete with in person support in real time, delivered by professioanls, but succeeds as a wellness resource in areas where these types of mediums are scarse.","Streamlines the process of mental health access, and removes the need for distance travel to access such resources.",Provides easy access to mental wellbeing resources. Empowers individuals to take steps to improving their mental health. Removes the environental and financial barriers that may be limiting peoples access.,"To offer professional counselling (with experienced psychologists, therapists and counsellors) as more accessible, affordable, convenient for anyone to receive support whenever they need. ",Scalable,Start up,https://monerbondhu.org/about-us/,,,,,,,,,,,,,,,
